Team Info,,Function Info,,,,Consumer Touchpoints,,,,,,,,,,
WMTO Team,WMTO Sub-team,Function,Content Lifecycle Area,Variable Data Point,Applications Supported,Content Production,Linear Networks,Sports,News,New WM DTC,Brand Extensions,Gaming,3rd Party Platforms,Consumer Products,Themed Entertainment,Enterprise Tech
Production & Distribution Technology Services,Platforms and Innovation,Test & integrate new technologies,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Platforms and Innovation,Develop next generation video solutions,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Platforms and Innovation,File patents to protect IP from innovations,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Platforms and Innovation,Generate low-cost digital channels,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Platforms and Innovation,ACR innovations,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Platforms and Innovation,Video format leadership,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Engineering Program and Capital Management,Initiatives Management,Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Engineering Program and Capital Management,ACE Development,Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Engineering Program and Capital Management,Project/Initiative Planning,Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Engineering Program and Capital Management,Creation and management of long-range technology programs,Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Engineering Program and Capital Management,"Engineering staff/portfolio management across Techwood, CNN Center and Hudson Yards",Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Engineering Program and Capital Management,Virtual production / in-camera visual effects,Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Engineering Program and Capital Management,Next-gen entertainment experience design,Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Engineering Program and Capital Management,Scripted film and television production creative solutions,Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Engineering Program and Capital Management,Marketing & Franchise Science,Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Engineering Program and Capital Management,Business Data Science,Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Engineering Program and Capital Management,Business Intelligence,Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Engineering Program and Capital Management,Marketing Operations,Production,,,,,,,,,,,,,x
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Broadcast Origination,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Playout,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Master Control,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,BIT,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Transport & Distribution,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Compression,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Uplinks,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,IP Distribution,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,IPTV,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Media WAN,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,International production (Latin America),Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Studios,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Edit/Post-Production,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Field Engineering,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Digital News Gathering,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Satellite News Gathering partnerships,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Bureaus and Production Centers,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Home Studios,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Live Production,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Studios,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Control Rooms,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Newsrooms,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Global Playout Tranmission & Distribution Technology,Content Transmissions,Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Production Infrastructure Engineering,"Infrastructure architecture, both in cloud and on premises",Production,,,x,,,,,,,,,x,
Production & Distribution Technology Services,Production Infrastructure Engineering,Network Architecture and Operations,Production,,,x,,,,,,,,,x,
Production & Distribution Technology Services,Production Infrastructure Engineering,Compute and Storage Architecture and Operations,Production,,,x,,,,,,,,,x,
Production & Distribution Technology Services,Production Infrastructure Engineering,"Fundamental Services (authentication, security, OS deployment, etc.)",Production,,,x,,,,,,,,,x,
Production & Distribution Technology Services,Production Infrastructure Engineering,Cloud Plane Management,Production,,,x,,,,,,,,,x,
Production & Distribution Technology Services,Digital Media Systems,"Post-Production technology including edit, color, sound, GFX/VFX",Post Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Digital Media Systems,Quality Control Systems,Post Production,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Digital Media Systems,Media Asset Management,Distribution and Promotion,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Digital Media Systems,Digital Library & Content Archive,Distribution and Promotion,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Digital Media Systems,Live Record & Playback,Distribution and Promotion,,,,x,x,x,x,x,,,,,
Production & Distribution Technology Services,Digital Media Systems,Technology transformation to cloud production environments,Pre Production,,,,x,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global News Digital,"CNN+, CNN, CNN Underscored, CNN Live UK",Platform,,,,,,x,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global News Digital,"Development, launch and operation of CNN+",Platform,,,,,,x,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global News Digital,"Planning, operations and innovation for all digital news properties including CNN Plus, CNN.com, CNN App, HLN digital",Production,,,,,,x,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global News Digital,"CNN Underscored, International digitial news properties and the CNN Store",Production,,,,,,x,x,,,,,,
"News, Sports & Entertainment Digital Platforms",Global Sports Digital,"Planning, operations and innovation for all digital sports properties including NCAA.com, March Madness, NBA Digital Ad Sales, NBA Team Sites (29), Bleacher Report, NHL and Estadio TNT Sports",Production,,,,,x,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Entertainment Digital,"Worldwide support, innovation andplanning for WarnerMedia’s digitalentertainment properties including 27Cartoon Network properties, TBS, TNT& TruTV, TNT Go International, HBO,Cinemax, CN Arcade, Adult Swim, TCM,WB Portals, Toonami, Pogo, Tooncast,Toonix, Boing, and Cartoonito",Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Fan Engagement,"Global planning, operations and support for all WarnerMedia fan-based entertainment experiences including Harry Potter, Ellen, DC Universe, DC Comics, Boomerang and Warner Digital Labs",Distribution and Promotion,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Fan Engagement,This includes hundreds of digital properties supporting Warner theatrical releases,Post Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Fan Engagement,Responsibilities include product management and development,Distribution and Promotion,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,Systems implementation,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,Software QA,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,Sarbanes Oxley,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,Software Configuration,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,Monitoring QoE,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,Application Portfolio Management,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,Global Tiered App Support,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,App Monitoring,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,Backend Support for Media Supply Chain,Distribution and Promotion,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,Service Now platform Management,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,Application Portfolio Management,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,IT Services Management,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Digital Operations,Multi-Tier Customer Service,Pre Production,,,,,,,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,Multi-Platform Video Player,Platform,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,Authentication,Platform,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,Instrumentation,Platform,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,Privacy Services,Platform,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,Live Stream Mgmt & Content Auth,Platform,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,Video Content Encoding & Distribution,Distribution and Promotion,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,DRM/Watermarking Services,Post Production,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,Identity/Payment Gateway Services,Distribution and Promotion,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,Content Delivery,Distribution and Promotion,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,Multi-CDN Orchestration,Distribution and Promotion,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,Cloud Arch & Ops,Pre Production,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Platform Technology,Content Management & Publishing Systems,Post Production,,,,,x,x,x,x,,,,,
"News, Sports & Entertainment Digital Platforms",Global Studio/Industry,Brainac,Distribution and Promotion,,,x,,,,x,,,,,,
